"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.786022220E2,6.491090059E1,2.553247244E1,1.232408844E1,1.490000010E0,2.178999939E2,3.790092468E0,2.500000000E0
1.796025184E2,6.491089169E1,2.553245140E1,1.241508685E1,1.429999948E0,2.211999969E2,3.790092468E0,2.500000000E0
1.806018732E2,6.491088292E1,2.553242920E1,1.236143224E1,1.480000019E0,2.221000061E2,3.790092468E0,2.500000000E0
1.816018607E2,6.491087392E1,2.553240668E1,1.233725745E1,1.500000000E0,2.218999939E2,3.790092468E0,2.500000000E0
1.826020073E2,6.491086452E1,2.553238426E1,1.216952759E1,1.500000000E0,2.228999939E2,3.790092468E0,2.500000000E0
1.836019743E2,6.491085498E1,2.553236128E1,1.205221272E1,1.549999952E0,2.226999969E2,3.790092468E0,2.500000000E0
1.846018497E2,6.491084481E1,2.553233733E1,1.188936519E1,1.519999981E0,2.191000061E2,3.790092468E0,2.500000000E0
1.856022605E2,6.491083361E1,2.553231524E1,1.186872833E1,1.509999990E0,2.183999939E2,3.790092468E0,2.500000000E0
1.866018068E2,6.491082384E1,2.553229448E1,1.174323419E1,1.500000000E0,2.208000031E2,3.790092468E0,2.500000000E0
1.876019897E2,6.491081372E1,2.553227260E1,1.155621647E1,1.559999943E0,2.223000031E2,3.790092468E0,2.500000000E0
1.886018090E2,6.491080367E1,2.553225193E1,1.137243348E1,1.460000038E0,2.216999969E2,3.790092468E0,2.500000000E0
1.896021766E2,6.491079321E1,2.553223051E1,1.140434847E1,1.429999948E0,2.216999969E2,3.790092468E0,2.500000000E0
1.906025445E2,6.491078305E1,2.553220767E1,1.136546318E1,1.460000038E0,2.241000061E2,3.790092468E0,2.500000000E0
1.916027250E2,6.491077301E1,2.553218560E1,1.107157300E1,1.470000029E0,2.236999969E2,3.790092468E0,2.500000000E0
1.926025812E2,6.491076309E1,2.553216519E1,1.099655475E1,1.409999967E0,2.221000061E2,3.790092468E0,2.500000000E0
1.936024039E2,6.491075304E1,2.553214466E1,1.065493483E1,1.450000048E0,2.233999939E2,3.790092468E0,2.500000000E0
1.946019163E2,6.491074384E1,2.553212290E1,1.077974655E1,1.460000038E0,2.231999969E2,3.790092468E0,2.500000000E0
1.956025807E2,6.491073419E1,2.553209981E1,1.095729244E1,1.480000019E0,2.245000000E2,3.790092468E0,2.500000000E0
1.966022797E2,6.491072447E1,2.553207657E1,1.092042178E1,1.460000038E0,2.246000061E2,3.790092468E0,2.500000000E0
1.976022250E2,6.491071373E1,2.553205565E1,1.099902833E1,1.450000048E0,2.188000031E2,3.790092468E0,2.500000000E0
1.986018197E2,6.491070288E1,2.553203645E1,1.073669214E1,1.509999990E0,2.186999969E2,3.790092468E0,2.500000000E0
1.996022749E2,6.491069238E1,2.553201624E1,1.045397067E1,1.519999981E0,2.225000000E2,3.790092468E0,2.500000000E0
2.006020843E2,6.491068280E1,2.553199525E1,1.046104511E1,1.419999957E0,2.251999969E2,3.790092468E0,2.500000000E0
2.016024133E2,6.491067536E1,2.553197082E1,1.025578076E1,1.450000048E0,2.373000031E2,3.790092468E0,2.500000000E0
2.026021437E2,6.491067181E1,2.553194149E1,1.024668777E1,1.440000057E0,2.545000000E2,3.790092468E0,2.500000000E0
2.036025841E2,6.491067482E1,2.553191127E1,9.990591730E0,1.409999967E0,2.832000122E2,3.790092468E0,2.500000000E0
2.046021731E2,6.491068494E1,2.553188211E1,9.804387381E0,1.539999962E0,3.066000061E2,3.790092468E0,2.500000000E0
2.056025909E2,6.491069687E1,2.553185892E1,9.670490916E0,1.500000000E0,3.177000122E2,3.790092468E0,2.500000000E0
2.066021347E2,6.491070914E1,2.553183979E1,9.564853415E0,1.500000000E0,3.207000122E2,3.790092468E0,2.500000000E0
2.076023161E2,6.491072133E1,2.553181919E1,9.255907962E0,1.470000029E0,3.207000122E2,3.790092468E0,2.500000000E0
2.086023682E2,6.491073315E1,2.553179783E1,9.473939822E0,1.529999971E0,3.205000000E2,3.790092468E0,2.500000000E0
2.096027470E2,6.491074390E1,2.553177401E1,9.623062378E0,1.500000000E0,3.206000061E2,3.790092468E0,2.500000000E0
2.106025818E2,6.491075423E1,2.553175014E1,9.863310040E0,1.500000000E0,3.197999878E2,3.790092468E0,2.500000000E0
